Codigo,ID,Nombre del emplazamiento,Direccion,Municipio,Localidad,Provincia,Latitud,Longitud,Categoria
ARBA0305,BL025,Sierras Bayas,Rufino Arroyo 58 entre Rivadavia y Spinetto,OLAVARRIA,SIERRAS BAYAS,BUENOS AIRES,-36.935558,-60.153889,C
ARBA0306,BL007,Olavarría TASA Rep,Belgrano 2966 entre Lamadrid y Moreno,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.894726,-60.319721,A
ARBA0741,BL012,Hinojo,Libertad entre calle 8 y calle 12,OLAVARRIA,HINOJO,BUENOS AIRES,-36.863331,-60.165558,B
ARBA11002,,(TASA) - BARRIO CECCO,Buchardo 4919 entre Tierra del Fuego y Santa Cruz,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.914897,-60.313332,C
ARBA11057,,(TASA) - PUEBLO NUEVO//Olavarria,"Calle Pourtale (e) Colón y Roque Saenz Peña, NC.Circ. I, Secc. C, Quinta 13, Mz. 13 a, Parc. 6,",OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.8778,-60.3308,C
ARBA11427,BL035,Olavarria - 035(C),ayacucho 2770 entre San Martín y Gral. Paz,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.88656,-60.33144,C
ARBA1343,,Olavarría TASA,España 2977,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.894726,-60.318417,P
ARBA1459,BL011,Cementos Avellaneda,Paraje San Jacinto S/N y Acceso por Ruta 76,OLAVARRIA,SIERRAS BAYAS,BUENOS AIRES,-36.982157,-60.245855,C
ARBA1469,BL010,Olavarria Sur,La Rioja 2493,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.918,-60.3025,B
ARBA1982,BL003,Olavarría Urquiza,Saavedra 2900,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.901,-60.31,C
ARBA2797,BL307,Olavarria 4 Nuevo,Av. De los Trabajadores y Junin 0 entre 0 y 0,OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.872,-60.317,C
ARBA8254,BL014,Sierra Chica(A),Av. Pelegrini y calle s/n .,OLAVARRIA,SIERRA CHICA,BUENOS AIRES,-36.852234,-60.234596,D
ARBA11438,,(TASA) - CASETA REGENERADORA  ESTANCIA LA ARGENTINA,"Ruta Nacional Nº 226 km 355,500. Estancia  La Pelada, Prop. Hernan M. Agote (Estcia. La Argentina).",OLAVARRIA,OLAVARRIA,BUENOS AIRES,-36.8642,-60.3193,A
ARBA11456,,(TASA) - ESPIGAS,JORGE LUIS BORGES (CALLE 9) E. CALLE 6 Y PADRE JORGE YUNGOUT (CALLE 8),OLAVARRIA,ESPIGAS,BUENOS AIRES,-36.41395,-60.67394,C
ARBA11068,,(TASA) - SAINT LARY REP,"Ruta Prov. Nº 51 (Ex -76) Km 55. Campo ""El Retiro"" NC. Circ. XI, Secc. Rural, Parc. 953 ""J"". SAINT L",OLAVARRIA,OLAVARRIA,BUENOS AIRES,-37.1692,-60.6303,C
ARBA0385,BL022,La Colina,Colon s/n entre Agricultura y Comercio,GENERAL LAMADRID,LA COLINA,BUENOS AIRES,-37.361664,-61.537498,C
ARBA0412,BL005,General Lamadrid,B. Rivadavia 502 entre Sarmiento y 25 de Mayo,GENERAL LAMADRID,GENERAL LA MADRID,BUENOS AIRES,-37.250832,-61.261944,B
ARBA0440,BL006,Laprida (Tasa),H. Yrigoyen 1280 entre Rivadavia y Pereyra,LAPRIDA,LAPRIDA,BUENOS AIRES,-37.548611,-60.797779,B
ARBA10901,,(TASA) - ARBOLEDAS,Manuel Galvez s/Nº entre José Hernandez y Godofredo F. Daireaux   ,DAIREAUX,ARBOLEDAS,BUENOS AIRES,-36.88455,-61.489082,D
ARBA4833,BL020,Libano,Urunday s/n entre Jacarandá y 0,GENERAL LAMADRID,LIBANO,BUENOS AIRES,-37.532583,-61.286417,C
ARBA0323,BL017,Estancia Las Tres Lomas,"RN 3, Km 383",BENITO JUAREZ,ESTANCIA TRES LOMAS,BUENOS AIRES,-37.460556,-59.839165,B
ARBA0615,BL016,Cerro del Plata,"RN 3, Km 352",AZUL,CERRO DEL PLATA,BUENOS AIRES,-37.24592,-59.902564,C
ARBA0650,BL021,Cruce,"RN 3, Km 340,8",AZUL,CRUCE,BUENOS AIRES,-37.136112,-59.953335,C
ARBA1490,BL076,Chillar,RUTA 3 KM 364 s/n°,AZUL,CHILLAR,BUENOS AIRES,-37.356667,-59.941944,C
ARBA8089,BL327,Chillar NEXTEL,RN3 Km 368.3 111111,AZUL,RUTA 3 - KM 369,BUENOS AIRES,-37.368361,-59.929083,C
ARBA0674,BL024,Alzaga,Ruta 3 Km 433 aprox.,ADOLFO GONZALES CHAVES,RUTA 3 - KM 430,BUENOS AIRES,-37.878887,-60.048332,C
ARBA0409,BL001,Azul,Monseñor Caneva 0 entre San Juan y Catamarca,AZUL,AZUL,BUENOS AIRES,-36.774166,-59.839722,A
ARBA0510,BL019,Estancia Los Pinos,"RN 3, Km 315,8",AZUL,AZUL,BUENOS AIRES,-36.921947,-59.9375,C
ARBA0642,BL023,Azul Centro TASA,H. Yrigoyen 501,AZUL,AZUL,BUENOS AIRES,-36.779446,-59.860832,A
ARBA11110,,(TASA) - AZUL - REP,"Calles Monseñor Caneva, Catamarca, J.B. Alberdi y San Juan",AZUL,AZUL,BUENOS AIRES,-36.774408,-59.841326,A
ARBA1993,BL032,Azul Balneario,25 de Mayo 1481 (entrada por Chubut entre Necochea y 25 de Mayo),AZUL,AZUL,BUENOS AIRES,-36.79143,-59.873645,C
ARBA1995,BL301,Azul San Juan,Rivadavia  225,AZUL,AZUL,BUENOS AIRES,-36.767,-59.851,C
ARBA4950,BL323,Azul Centro Este(C),ALBERDI Y BOLIVAR (Torre IV) (TORRE,AZUL,AZUL,BUENOS AIRES,-36.7866,-59.8552,C
ARBA9922,,TASA Chillar,25 de Mayo 845 entre Pellegrini y Moreno,AZUL,CHILLAR,BUENOS AIRES,-37.31248,-59.9819,C
ARBA0021,BL018,Parish,"Sobre Estacion FFCC Parish, 2 Km de RN 3, Km 262",AZUL,PARISH,BUENOS AIRES,-36.518333,-59.632774,B
ARBA0116,BL008,Tapalque,Mitre 131 entre 9 de Julio y Sarmiento,TAPALQUE,TAPALQUE,BUENOS AIRES,-36.359165,-60.024445,C
ARBA0483,BL013,Pardo,"Calle frente estacion Pardo, a 2Km RN 3 Km 220",LAS FLORES,PARDO,BUENOS AIRES,-36.243332,-59.364445,C
ARBA0756,BL026,Cachari,Belgrano y Avellaneda 404,AZUL,CACHARI,BUENOS AIRES,-36.383333,-59.5,B
ARBA0196,BA006,Rauch,Alberti 125 entre Moreno y Rivadavia,RAUCH,RAUCH,BUENOS AIRES,-36.777667,-59.089213,B
ARBA11059,,(TASA) - RAUCH REPETIDORA,"Sobre la Ruta Prov. Nº 60. Lote 26, Cuartel 13, Colonia Agricola Martin Fierro. Estancia ""El Princip",0,Rauch,Buenos Aires,-36.829101,-59.143707,B
ARBA10574,BA047,Rauch BA047(B),RUTA PROV. Nº30 A 40KM DE RAUCH S/N,RAUCH,RAUCH,BUENOS AIRES,-36.36786,-59.00419,A
ARBA9690,BA048,Rauch BA048(A),ESTACION MIRANDA S/N,RAUCH,RAUCH,BUENOS AIRES,-36.53432,-59.13387,C
ARBA10028,,Egaña TASA,Frente a la est. del F.F.C.C. Prop. Lasarte.  S/N,RAUCH,RAUCH,BUENOS AIRES,-36.9827,-59.1009,D
ARBA10907,,(TASA) - CAMPODONICO,RUTA PROV. Nº 50 S/N,TAPALQUE,TAPALQUE,BUENOS AIRES,-36.34441,-59.79752,D
ARBA10925,,(TASA) - LAS MARTINETAS,Calle 25 de Mayo esq. calle Belgrano,GENERAL LAMADRID,LAS MARTINETAS,BUENOS AIRES,-37.20001,-61.11821,D
ARBA10932,,(TASA) - PAULA,SALA DE 1º AUX. FTE A LA ESTACION FERR. PAULA,BOLIVAR,PAULA,BUENOS AIRES,-36.503992,-61.022917,D
